name,size,mean,std,max,min
model.embed_tokens.weight,"(50304, 1024)",8.376039477298036e-05,0.059037189930677414,0.76171875,-0.86328125
model.layers.0.self_attn.q_proj.weight,"(1024, 1024)",5.958373367320746e-05,0.11967402696609497,1.21875,-1.1171875
model.layers.0.self_attn.k_proj.weight,"(128, 1024)",0.00023665175831411034,0.24083536863327026,2.0625,-2.390625
model.layers.0.self_attn.v_proj.weight,"(128, 1024)",0.00017323387146461755,0.024133214727044106,0.171875,-0.154296875
model.layers.0.self_attn.o_proj.weight,"(1024, 1024)",-1.0005253898270894e-05,0.03376612439751625,1.203125,-1.046875
model.layers.0.mlp.gate_proj.weight,"(4096, 1024)",-0.0007558069773949683,0.06249062344431877,0.322265625,-0.306640625
model.layers.0.mlp.up_proj.weight,"(4096, 1024)",-2.327004767721519e-05,0.061390530318021774,0.314453125,-0.306640625
model.layers.0.mlp.down_proj.weight,"(1024, 4096)",-3.530393587425351e-05,0.06150631606578827,1.2421875,-1.6796875
model.layers.0.input_layernorm.weight,"(1024,)",0.030795486643910408,0.02499188855290413,0.30078125,-0.00022125244140625
model.layers.0.post_attention_layernorm.weight,"(1024,)",0.1790195107460022,0.01264086365699768,0.22265625,0.00836181640625
model.layers.1.self_attn.q_proj.weight,"(1024, 1024)",-1.493956006015651e-06,0.07085228711366653,0.4453125,-0.421875
model.layers.1.self_attn.k_proj.weight,"(128, 1024)",0.00026717784930951893,0.08525213599205017,0.69140625,-0.5234375
model.layers.1.self_attn.v_proj.weight,"(128, 1024)",-0.00018335490312892944,0.028277840465307236,0.13671875,-0.126953125
model.layers.1.self_attn.o_proj.weight,"(1024, 1024)",7.031956920400262e-05,0.0484161376953125,2.265625,-2.21875
model.layers.1.mlp.gate_proj.weight,"(4096, 1024)",-9.980581671698019e-05,0.06293397396802902,0.376953125,-0.56640625
model.layers.1.mlp.up_proj.weight,"(4096, 1024)",-2.8072547138435766e-05,0.06121619790792465,0.478515625,-0.57421875
model.layers.1.mlp.down_proj.weight,"(1024, 4096)",-5.6747510825516656e-05,0.06138559430837631,2.0625,-1.8515625
model.layers.1.input_layernorm.weight,"(1024,)",0.2808799743652344,0.03217792883515358,0.55859375,0.1669921875
model.layers.1.post_attention_layernorm.weight,"(1024,)",0.39978232979774475,0.02931184321641922,0.4765625,-0.000164031982421875
model.layers.2.self_attn.q_proj.weight,"(1024, 1024)",4.4424275984056294e-05,0.06846817582845688,0.419921875,-0.44140625
model.layers.2.self_attn.k_proj.weight,"(128, 1024)",0.00015932225505821407,0.0775609165430069,0.6953125,-0.8828125
model.layers.2.self_attn.v_proj.weight,"(128, 1024)",0.00016151226009242237,0.0416690930724144,0.2333984375,-0.228515625
model.layers.2.self_attn.o_proj.weight,"(1024, 1024)",-2.5998779165092856e-05,0.0539652518928051,1.2265625,-1.2265625
model.layers.2.mlp.gate_proj.weight,"(4096, 1024)",-0.0003416377876419574,0.06493603438138962,0.419921875,-0.58203125
model.layers.2.mlp.up_proj.weight,"(4096, 1024)",6.2084618548396975e-06,0.060841795057058334,0.38671875,-0.373046875
model.layers.2.mlp.down_proj.weight,"(1024, 4096)",1.7148897313745692e-05,0.06083149090409279,1.6015625,-1.6328125
model.layers.2.input_layernorm.weight,"(1024,)",0.7683029174804688,0.05429205670952797,0.94921875,0.24609375
model.layers.2.post_attention_layernorm.weight,"(1024,)",0.5520915985107422,0.04092562198638916,0.65625,0.04443359375
model.layers.3.self_attn.q_proj.weight,"(1024, 1024)",0.00010743822349468246,0.06786759942770004,0.515625,-0.484375
model.layers.3.self_attn.k_proj.weight,"(128, 1024)",1.8283612007508054e-05,0.07923814654350281,0.52734375,-0.62109375
model.layers.3.self_attn.v_proj.weight,"(128, 1024)",-0.00010684043081710115,0.031114788725972176,0.1376953125,-0.140625
model.layers.3.self_attn.o_proj.weight,"(1024, 1024)",3.592672510421835e-05,0.04943284019827843,0.90625,-0.89453125
model.layers.3.mlp.gate_proj.weight,"(4096, 1024)",-0.0002350822906009853,0.0651150569319725,0.58984375,-0.63671875
model.layers.3.mlp.up_proj.weight,"(4096, 1024)",3.067285069846548e-05,0.06092962995171547,0.50390625,-0.56640625
model.layers.3.mlp.down_proj.weight,"(1024, 4096)",-2.3189830244518816e-05,0.06081859767436981,2.0,-1.6875
model.layers.3.input_layernorm.weight,"(1024,)",0.8975429534912109,0.0808347687125206,1.1953125,0.388671875
model.layers.3.post_attention_layernorm.weight,"(1024,)",0.6148173809051514,0.04205961897969246,0.7265625,0.058837890625
model.layers.4.self_attn.q_proj.weight,"(1024, 1024)",3.63418621418532e-06,0.0709814578294754,0.53125,-0.474609375
model.layers.4.self_attn.k_proj.weight,"(128, 1024)",0.0005024496931582689,0.08130667358636856,0.69921875,-0.65234375
model.layers.4.self_attn.v_proj.weight,"(128, 1024)",9.450440120417625e-05,0.04160044342279434,0.2080078125,-0.2021484375
model.layers.4.self_attn.o_proj.weight,"(1024, 1024)",-4.8657399020157754e-05,0.05324165150523186,0.6484375,-0.64453125
model.layers.4.mlp.gate_proj.weight,"(4096, 1024)",-0.00014214511611498892,0.06570684164762497,0.431640625,-0.39453125
model.layers.4.mlp.up_proj.weight,"(4096, 1024)",-8.956973942986224e-06,0.06082874909043312,0.3359375,-0.384765625
model.layers.4.mlp.down_proj.weight,"(1024, 4096)",-6.221327930688858e-05,0.06050177663564682,2.0,-1.609375
model.layers.4.input_layernorm.weight,"(1024,)",0.7465629577636719,0.046236831694841385,0.9140625,0.32421875
model.layers.4.post_attention_layernorm.weight,"(1024,)",0.6793253421783447,0.04477854073047638,0.80078125,0.056884765625
model.layers.5.self_attn.q_proj.weight,"(1024, 1024)",-7.285476385732181e-06,0.07605244219303131,0.54296875,-0.482421875
model.layers.5.self_attn.k_proj.weight,"(128, 1024)",0.00011593460658332333,0.08907552063465118,0.67578125,-0.82421875
model.layers.5.self_attn.v_proj.weight,"(128, 1024)",0.00027768732979893684,0.0391000434756279,0.1640625,-0.1796875
model.layers.5.self_attn.o_proj.weight,"(1024, 1024)",-0.00011983858712483197,0.053284648805856705,0.84375,-1.015625
model.layers.5.mlp.gate_proj.weight,"(4096, 1024)",6.728924199705943e-05,0.06682630628347397,0.40625,-0.380859375
model.layers.5.mlp.up_proj.weight,"(4096, 1024)",3.639853275672067e-06,0.06012868136167526,0.32421875,-0.3203125
model.layers.5.mlp.down_proj.weight,"(1024, 4096)",-1.0316997759218793e-05,0.05953512713313103,1.59375,-1.8671875
model.layers.5.input_layernorm.weight,"(1024,)",0.8170871734619141,0.04441000893712044,0.9609375,0.345703125
model.layers.5.post_attention_layernorm.weight,"(1024,)",0.7632880210876465,0.04807433485984802,0.87109375,0.07958984375
model.layers.6.self_attn.q_proj.weight,"(1024, 1024)",0.00010402820771560073,0.07244715094566345,0.5234375,-0.61328125
model.layers.6.self_attn.k_proj.weight,"(128, 1024)",0.00024788809241726995,0.08344091475009918,1.0234375,-0.79296875
model.layers.6.self_attn.v_proj.weight,"(128, 1024)",0.00018633062427397817,0.03971031680703163,0.193359375,-0.19140625
model.layers.6.self_attn.o_proj.weight,"(1024, 1024)",-2.362114901188761e-05,0.053636133670806885,0.65234375,-0.6015625
model.layers.6.mlp.gate_proj.weight,"(4096, 1024)",-1.8765853383229114e-05,0.06565459072589874,0.43359375,-0.416015625
model.layers.6.mlp.up_proj.weight,"(4096, 1024)",-3.957017725042533e-06,0.061123646795749664,0.458984375,-0.462890625
model.layers.6.mlp.down_proj.weight,"(1024, 4096)",6.478533578047063e-06,0.06006324663758278,1.8671875,-1.2890625
model.layers.6.input_layernorm.weight,"(1024,)",0.7809162139892578,0.045164771378040314,0.91015625,0.345703125
model.layers.6.post_attention_layernorm.weight,"(1024,)",0.774012565612793,0.04467150568962097,0.88671875,0.1083984375
model.layers.7.self_attn.q_proj.weight,"(1024, 1024)",-0.000341512932209298,0.06838112324476242,0.4453125,-0.453125
model.layers.7.self_attn.k_proj.weight,"(128, 1024)",-0.0003185305104125291,0.07270795106887817,0.7734375,-0.53515625
model.layers.7.self_attn.v_proj.weight,"(128, 1024)",0.00020408195268828422,0.044523727148771286,0.197265625,-0.201171875
model.layers.7.self_attn.o_proj.weight,"(1024, 1024)",4.575153434416279e-05,0.05587173253297806,0.95703125,-0.78125
model.layers.7.mlp.gate_proj.weight,"(4096, 1024)",0.00015998866001609713,0.06387726217508316,0.55859375,-0.494140625
model.layers.7.mlp.up_proj.weight,"(4096, 1024)",-8.396433258894831e-06,0.06253344565629959,0.361328125,-0.353515625
model.layers.7.mlp.down_proj.weight,"(1024, 4096)",3.011835360666737e-05,0.06130500137805939,1.375,-1.578125
model.layers.7.input_layernorm.weight,"(1024,)",0.7992610931396484,0.04706555977463722,0.9375,0.4296875
model.layers.7.post_attention_layernorm.weight,"(1024,)",0.7442340850830078,0.04195233806967735,0.83203125,0.10546875
model.layers.8.self_attn.q_proj.weight,"(1024, 1024)",-0.00011528885079314932,0.06756334006786346,0.84375,-0.890625
model.layers.8.self_attn.k_proj.weight,"(128, 1024)",3.3151205570902675e-05,0.0711306780576706,0.80859375,-0.4921875
model.layers.8.self_attn.v_proj.weight,"(128, 1024)",-0.00010454119183123112,0.049300674349069595,0.228515625,-0.216796875
model.layers.8.self_attn.o_proj.weight,"(1024, 1024)",-6.915587619005237e-06,0.05718192830681801,0.765625,-0.63671875
model.layers.8.mlp.gate_proj.weight,"(4096, 1024)",5.9194924688199535e-05,0.06262309104204178,0.66015625,-0.796875
model.layers.8.mlp.up_proj.weight,"(4096, 1024)",-8.357084880117327e-05,0.06422765552997589,0.76171875,-0.7421875
model.layers.8.mlp.down_proj.weight,"(1024, 4096)",-9.339017196907662e-06,0.06205683946609497,1.3828125,-2.0625
model.layers.8.input_layernorm.weight,"(1024,)",0.7684249877929688,0.040460120886564255,0.8828125,0.447265625
model.layers.8.post_attention_layernorm.weight,"(1024,)",0.6309299468994141,0.031071076169610023,0.72265625,0.197265625
model.layers.9.self_attn.q_proj.weight,"(1024, 1024)",-8.672116382513195e-05,0.06046437472105026,0.388671875,-0.447265625
model.layers.9.self_attn.k_proj.weight,"(128, 1024)",-9.346759179607034e-05,0.05829942971467972,0.357421875,-0.357421875
model.layers.9.self_attn.v_proj.weight,"(128, 1024)",-1.211184553540079e-05,0.04996056482195854,0.22265625,-0.251953125
model.layers.9.self_attn.o_proj.weight,"(1024, 1024)",5.394475374487229e-05,0.05621275305747986,0.921875,-0.87109375
model.layers.9.mlp.gate_proj.weight,"(4096, 1024)",7.482682849513367e-05,0.062082689255476,0.50390625,-0.41796875
model.layers.9.mlp.up_proj.weight,"(4096, 1024)",1.0409778951725457e-05,0.06362735480070114,0.51953125,-0.34375
model.layers.9.mlp.down_proj.weight,"(1024, 4096)",4.483558586798608e-05,0.062289439141750336,1.140625,-1.109375
model.layers.9.input_layernorm.weight,"(1024,)",1.0545692443847656,0.06254247575998306,1.2890625,0.6796875
model.layers.9.post_attention_layernorm.weight,"(1024,)",0.6622791290283203,0.039282266050577164,0.75,0.119140625
model.layers.10.self_attn.q_proj.weight,"(1024, 1024)",6.14880773355253e-05,0.05786977335810661,0.423828125,-0.41796875
model.layers.10.self_attn.k_proj.weight,"(128, 1024)",0.0001299351133638993,0.052978239953517914,0.30078125,-0.490234375
model.layers.10.self_attn.v_proj.weight,"(128, 1024)",8.568940393161029e-05,0.07209461182355881,0.333984375,-0.376953125
model.layers.10.self_attn.o_proj.weight,"(1024, 1024)",0.00011967509635724127,0.06477385014295578,0.7265625,-0.89453125
model.layers.10.mlp.gate_proj.weight,"(4096, 1024)",-0.00013746021431870759,0.061727602034807205,0.421875,-0.5859375
model.layers.10.mlp.up_proj.weight,"(4096, 1024)",-1.6682479326846078e-05,0.06418602168560028,0.3671875,-0.36328125
model.layers.10.mlp.down_proj.weight,"(1024, 4096)",-4.761695163324475e-05,0.06273093074560165,1.2265625,-1.09375
model.layers.10.input_layernorm.weight,"(1024,)",0.8987846374511719,0.05132436752319336,1.0546875,0.52734375
model.layers.10.post_attention_layernorm.weight,"(1024,)",0.6844644546508789,0.039020463824272156,0.75390625,0.119140625
model.layers.11.self_attn.q_proj.weight,"(1024, 1024)",-4.572212492348626e-05,0.05920449644327164,0.470703125,-0.48046875
model.layers.11.self_attn.k_proj.weight,"(128, 1024)",0.00018052416271530092,0.05429336428642273,0.384765625,-0.34765625
model.layers.11.self_attn.v_proj.weight,"(128, 1024)",0.0002280767948832363,0.0667264312505722,0.318359375,-0.291015625
model.layers.11.self_attn.o_proj.weight,"(1024, 1024)",-3.879818905261345e-05,0.0628402829170227,0.66015625,-0.640625
model.layers.11.mlp.gate_proj.weight,"(4096, 1024)",-7.65947625041008e-05,0.06104127690196037,0.40234375,-0.3828125
model.layers.11.mlp.up_proj.weight,"(4096, 1024)",-1.84891396202147e-05,0.06437767297029495,0.3671875,-0.359375
model.layers.11.mlp.down_proj.weight,"(1024, 4096)",-8.875976345734671e-05,0.06299319118261337,1.03125,-1.34375
model.layers.11.input_layernorm.weight,"(1024,)",1.0199394226074219,0.06010901555418968,1.21875,0.5078125
model.layers.11.post_attention_layernorm.weight,"(1024,)",0.6898670196533203,0.03889264166355133,0.7734375,0.109375
model.layers.12.self_attn.q_proj.weight,"(1024, 1024)",0.00015009724302217364,0.054662201553583145,0.4375,-0.388671875
model.layers.12.self_attn.k_proj.weight,"(128, 1024)",0.00013300045975483954,0.047303471714258194,0.3515625,-0.44921875
model.layers.12.self_attn.v_proj.weight,"(128, 1024)",-0.00021116362768225372,0.07948710769414902,0.359375,-0.400390625
model.layers.12.self_attn.o_proj.weight,"(1024, 1024)",2.75334623438539e-05,0.06822182983160019,0.875,-0.83203125
model.layers.12.mlp.gate_proj.weight,"(4096, 1024)",-8.240070019382983e-05,0.06106400489807129,0.4140625,-0.5625
model.layers.12.mlp.up_proj.weight,"(4096, 1024)",5.1559662097133696e-05,0.06486249715089798,0.53515625,-0.46875
model.layers.12.mlp.down_proj.weight,"(1024, 4096)",2.3973965653567575e-05,0.06338272988796234,1.015625,-1.375
model.layers.12.input_layernorm.weight,"(1024,)",1.011495590209961,0.06325918436050415,1.1640625,0.453125
model.layers.12.post_attention_layernorm.weight,"(1024,)",0.7080216407775879,0.036938924342393875,0.78515625,0.11572265625
model.layers.13.self_attn.q_proj.weight,"(1024, 1024)",1.879269075288903e-05,0.056725066155195236,0.3671875,-0.419921875
model.layers.13.self_attn.k_proj.weight,"(128, 1024)",-4.209875260130502e-05,0.04952758923172951,0.3046875,-0.361328125
model.layers.13.self_attn.v_proj.weight,"(128, 1024)",-0.0002903963904827833,0.07658358663320541,0.365234375,-0.365234375
model.layers.13.self_attn.o_proj.weight,"(1024, 1024)",-9.917892748489976e-05,0.06713497638702393,0.6875,-0.73828125
model.layers.13.mlp.gate_proj.weight,"(4096, 1024)",-4.6815703171887435e-06,0.06100327894091606,0.3984375,-0.416015625
model.layers.13.mlp.up_proj.weight,"(4096, 1024)",3.903522883774713e-05,0.0649300217628479,0.46484375,-0.443359375
model.layers.13.mlp.down_proj.weight,"(1024, 4096)",8.497752787661739e-06,0.06346874684095383,1.0546875,-1.65625
model.layers.13.input_layernorm.weight,"(1024,)",1.0104560852050781,0.05488624423742294,1.140625,0.515625
model.layers.13.post_attention_layernorm.weight,"(1024,)",0.7407917976379395,0.03873173147439957,0.82421875,0.10107421875
model.layers.14.self_attn.q_proj.weight,"(1024, 1024)",-4.361423634691164e-05,0.05641951039433479,0.3515625,-0.33203125
model.layers.14.self_attn.k_proj.weight,"(128, 1024)",9.702798706712201e-05,0.04824753478169441,0.52734375,-0.375
model.layers.14.self_attn.v_proj.weight,"(128, 1024)",-8.440905367024243e-05,0.08308491110801697,0.365234375,-0.380859375
model.layers.14.self_attn.o_proj.weight,"(1024, 1024)",-0.000110007451439742,0.06801215559244156,1.03125,-0.93359375
model.layers.14.mlp.gate_proj.weight,"(4096, 1024)",1.206408160214778e-05,0.06044359132647514,0.4296875,-0.470703125
model.layers.14.mlp.up_proj.weight,"(4096, 1024)",1.0112720701727085e-05,0.0657096728682518,0.447265625,-0.46484375
model.layers.14.mlp.down_proj.weight,"(1024, 4096)",2.3778531613061205e-05,0.06420999020338058,1.359375,-1.3359375
model.layers.14.input_layernorm.weight,"(1024,)",0.9344730377197266,0.05513222515583038,1.0859375,0.498046875
model.layers.14.post_attention_layernorm.weight,"(1024,)",0.7539901733398438,0.03751160204410553,0.8203125,0.11328125
model.layers.15.self_attn.q_proj.weight,"(1024, 1024)",-2.8415233828127384e-05,0.052569109946489334,0.34765625,-0.333984375
model.layers.15.self_attn.k_proj.weight,"(128, 1024)",-0.00019995737238787115,0.04399481788277626,0.26953125,-0.302734375
model.layers.15.self_attn.v_proj.weight,"(128, 1024)",-8.459380478598177e-05,0.08517052233219147,0.3671875,-0.37890625
model.layers.15.self_attn.o_proj.weight,"(1024, 1024)",-8.795956819085404e-05,0.0696195662021637,1.2890625,-0.94140625
model.layers.15.mlp.gate_proj.weight,"(4096, 1024)",4.801878094440326e-05,0.06037934496998787,0.462890625,-0.5078125
model.layers.15.mlp.up_proj.weight,"(4096, 1024)",-2.418601252429653e-05,0.06603088229894638,0.404296875,-0.41015625
model.layers.15.mlp.down_proj.weight,"(1024, 4096)",5.948232137598097e-05,0.0644736960530281,1.3046875,-1.3515625
model.layers.15.input_layernorm.weight,"(1024,)",0.9817314147949219,0.05675246939063072,1.125,0.49609375
